CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName
"VENTOR INVESTMENTS LIMITED","09515588","","","WINNINGTON HOUSE 2 WOODBERRY GROVE","NORTH FINCHLEY","LONDON","","UNITED KINGDOM","N12 0DR","Private Limited Company","Active","United Kingdom","","28/03/2015","31","3","28/12/2016","","NO ACCOUNTS FILED","25/04/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09515588","","","","","","","","","","","","","","","","","","","",""
"VENTOR LIMITED","05208806","","","3 AVONDALE RISE","HOUGH LANE","WILMSLOW","CHESHIRE","","SK9 2NB","Private Limited Company","Active","United Kingdom","","18/08/2004","31","8","31/05/2015","31/08/2013","TOTAL EXEMPTION SMALL","15/09/2015","18/08/2014","0","0","0","0","62090 - Other information technology service activities","","","","0","0","http://business.data.gov.uk/id/company/05208806","","","","","","","","","","","","","","","","","","","",""
"VENTOR TRADING LIMITED","08650858","","","21D PORTLAND SQUARE","","BRISTOL","BRISTOL","","BS2 8SJ","Private Limited Company","Active","United Kingdom","","14/08/2013","31","8","14/05/2015","","NO ACCOUNTS FILED","11/09/2015","14/08/2014","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/08650858","","","","","","","","","","","","","","","","","","","",""
"TOTS2TEENS LTD","08966156","","","8-10 CHANCELLOR ROAD","","SOUTHEND ON SEA","ESSEX","ENGLAND","SS!"AS","Private Limited Company","Active","United Kingdom","","28/03/2014","31","3","28/12/2015","","NO ACCOUNTS FILED","25/04/2015","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/08966156","","","","","","","","","","","","","","","","","","","",""
"£DUCASHION LTD","07625283","","","3 MAYHILL ROAD","","GREENWICH","GREATER LONDON","","SE7 7JG","Private Limited Company","Active","United Kingdom","","06/05/2011","31","5","29/02/2016","31/05/2014","DORMANT","03/06/2015","06/05/2014","0","0","0","0","62012 - Business and domestic software development","","","","0","0","http://business.data.gov.uk/id/company/07625283","","","","","","","","","","","","","","","","","","","",""
"£££ LTD","08344093","","","METRO HOUSE 57 PEPPER ROAD","HUNSLET","LEEDS","YORKSHIRE","","LS10 2RU","Private Limited Company","Active","United Kingdom","","02/01/2013","31","1","31/10/2015","31/01/2014","DORMANT","30/01/2016","02/01/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/08344093","","","","","","","","","","","","","","","","","","","",""
"£££ SAVE TYRES LTD","09475149","","","UNIT 1","BALME ROAD","CLECKHEATON","WEST YORKSHIRE","UNITED KINGDOM","BD19 4EW","Private Limited Company","Active","United Kingdom","","06/03/2015","31","3","06/12/2016","","NO ACCOUNTS FILED","03/04/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09475149","","","","","","","","","","","","","","","","","","","",""
"¥IVA LTD","09460559","","","6 SHIREHALL PARK","","HENDON","","UNITED KINGDOM","NW4 2QL","Private Limited Company","Active","United Kingdom","","26/02/2015","28","2","26/11/2016","","NO ACCOUNTS FILED","25/03/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09460559","","","","","","","","","","","","","","","","","","","",""
"ÁLPHA MASCHIO LTD","09468796","","","28 LEONARD ROAD","FOREST GATE","LONDON","","ENGLAND","E7 0DB","Private Limited Company","Active","United Kingdom","","03/03/2015","31","3","03/12/2016","","NO ACCOUNTS FILED","31/03/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09468796","","","","","","","","","","","","","","","","","","","",""
"ÉLAN PROJECTS CONSULTANCY LTD.","09481566","","","31 BARDOLPH STREET","","LEICESTER","","UNITED KINGDOM","LE4 6EH","Private Limited Company","Active","United Kingdom","","10/03/2015","31","3","10/12/2016","","NO ACCOUNTS FILED","07/04/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09481566","","","","","","","","","","","","","","","","","","","",""
"ÉTOILE CONSULTANCY LTD","09498296","","","414-416 BLACKPOOL ROAD","ASHTON-ON-RIBBLE","PRESTON","LANCS","UNITED KINGDOM","PR2 2DX","Private Limited Company","Active","United Kingdom","","19/03/2015","31","3","19/12/2016","","NO ACCOUNTS FILED","16/04/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09498296","","","","","","","","","","","","","","","","","","","",""
"Ó MUIRIGH SOLICITORS LIMITED","NI629669","","","24-26 SPRINGFIELD ROAD","","BELFAST","","","BT12 7AG","Private Limited Company","Active","United Kingdom","","02/03/2015","31","3","02/12/2016","","NO ACCOUNTS FILED","30/03/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/NI629669","19/03/2015","Ó MUIRIGH LAW LIMITED","","","","","","","","","","","","","","","","","",""
"‘OW ‘BOUT ME? LIMITED","09495226","","","5 DUCKETTS WHARF","SOUTH STREET","BISHOP'S STORTFORD","HERTFORDSHIRE","UNITED KINGDOM","CM23 3AR","Private Limited Company","Active","United Kingdom","","17/03/2015","31","3","17/12/2016","","NO ACCOUNTS FILED","14/04/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09495226","","","","","","","","","","","","","","","","","","","",""
"“SAIL IN GREECE ADVENTURES” LTD","09511422","","","INTERNATIONAL HOUSE","24 HOLBORN VIADUCT","LONDON","","ENGLAND","EC1A 2BN","Private Limited Company","Active","United Kingdom","","26/03/2015","31","3","26/12/2016","","NO ACCOUNTS FILED","23/04/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09511422","","","","","","","","","","","","","","","","","","","",""
"€URO IMPORTS LIMITED","08182582","","","PONDSIDE MILL LANE","INSKIP","PRESTON","","","PR4 0TP","Private Limited Company","Active","United Kingdom","","16/08/2012","31","8","31/05/2015","31/08/2013","DORMANT","14/11/2015","17/10/2014","0","0","0","0","46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods","","","","0","0","http://business.data.gov.uk/id/company/08182582","","","","","","","","","","","","","","","","","","","",""
"€UROTECH LTD","06642625","","","REED HOUSE 16 HIGH STREET","WEST WRATTING","CAMBRIDGE","CAMBRIDGESHIRE","","CB21 5LU","Private Limited Company","Active","United Kingdom","","10/07/2008","31","12","30/09/2016","31/12/2014","DORMANT","07/08/2015","10/07/2014","0","0","0","0","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/06642625","","","","","","","","","","","","","","","","","","","",""
